harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
2800000,Balikpapan Utara,225.0,311,SHM,Unfurnished,4,3,3500,1
485000,Balikpapan Utara,110.0,120,SHM,Unfurnished,3,2,1300,1
500000,Balikpapan Utara,45.0,90,SHM,Unfurnished,2,1,1300,1
2300000,Balikpapan Utara,88.0,140,SHM,Unfurnished,3,3,1300,1
485000,Balikpapan Utara,110.0,120,SHM,Semi-furnished,3,2,1300,1
1750000,Balikpapan Utara,200.0,220,SHM,Unfurnished,5,3,4400,1
1050000,Balikpapan Utara,120.0,235,SHM,Unfurnished,3,1,2200,1
600000,Balikpapan Utara,48.0,120,HGB,Unfurnished,2,1,2200,1
2160000,Balikpapan Utara,120.0,117,SHM,Unfurnished,3,2,2200,2
1760000,Balikpapan Utara,105.0,88,SHM,Unfurnished,3,2,2200,2
3260000,Balikpapan Utara,172.0,200,SHM,Unfurnished,4,3,2200,1
800000,Balikpapan Utara,205.0,149,SHM,Unfurnished,3,2,2200,2
425000,Balikpapan Utara,45.0,120,SHM,Unfurnished,2,1,1300,1
2150000,Balikpapan Utara,100.0,160,SHM,Unfurnished,3,2,2200,1
2000000,Balikpapan Utara,200.0,200,SHM,Unfurnished,4,2,2200,1
1500000,Balikpapan Utara,186.0,186,SHM,Unfurnished,4,3,2200,1
752000,Balikpapan Utara,70.0,90,SHM,Unfurnished,2,1,1300,1
702000,Balikpapan Utara,102.0,200,SHM,Unfurnished,3,2,900,1
1130000,Balikpapan Utara,96.0,160,SHM,Unfurnished,3,2,2200,1
950000,Balikpapan Utara,208.0,208,SHM,Furnished,6,2,3500,1
1790000,Balikpapan Utara,153.0,173,SHM,Unfurnished,3,2,2200,1
2700000,Balikpapan Utara,500.0,311,SHM,Unfurnished,5,5,4400,2
1350000,Balikpapan Utara,120.0,112,SHM,Unfurnished,2,2,2200,2
1200000,Balikpapan Utara,220.0,147,SHM,Unfurnished,6,3,2200,2
1200000,Balikpapan Utara,145.0,160,SHM,Unfurnished,4,2,4400,1
400000,Balikpapan Utara,120.0,150,SHM,Unfurnished,1,1,900,1
1700000,Balikpapan Utara,100.0,260,SHM,Unfurnished,3,1,2200,1
1200000,Balikpapan Utara,150.0,300,SHM,Unfurnished,5,2,1300,1
550000,Balikpapan Utara,48.0,150,SHM,Unfurnished,2,1,1300,1
2700000,Balikpapan Utara,180.0,148,HGB,Unfurnished,3,2,2200,2
405000,Balikpapan Utara,39.0,150,HGB,Unfurnished,2,1,1300,1
3750000,Balikpapan Utara,450.0,319,SHM,Unfurnished,4,5,4400,2
1670000,Balikpapan Utara,80.0,250,SHM,Unfurnished,2,1,2200,1
2000000,Balikpapan Utara,135.0,285,SHM,Unfurnished,2,2,4400,1
875000,Balikpapan Utara,100.0,120,SHM,Unfurnished,2,2,2200,1
1420000,Balikpapan Utara,200.0,211,SHM,Unfurnished,3,2,2200,1
1750000,Balikpapan Utara,150.0,256,SHM,Unfurnished,3,3,2200,1
600000,Balikpapan Utara,90.0,120,SHM,Unfurnished,3,2,1300,1
700000,Balikpapan Utara,90.0,200,SHM,Unfurnished,3,2,1300,1
800000,Balikpapan Utara,120.0,96,SHM,Unfurnished,2,2,1300,2
950000,Balikpapan Utara,218.0,218,SHM,Unfurnished,4,2,1300,1
1500000,Balikpapan Utara,177.0,268,HGB,Unfurnished,3,3,2200,1
450000,Balikpapan Utara,110.0,118,SHM,Unfurnished,3,1,2200,1
1700000,Balikpapan Utara,172.0,155,SHM,Unfurnished,5,2,2200,2
1500000,Balikpapan Utara,200.0,200,SHM,Unfurnished,4,2,3500,1
1300000,Balikpapan Utara,110.0,144,SHM,Unfurnished,3,1,1300,1
1200000,Balikpapan Utara,175.0,195,HGB,Unfurnished,5,3,2200,1
600000,Balikpapan Utara,100.0,108,SHM,Unfurnished,3,1,1300,1
3800000,Balikpapan Utara,230.0,400,SHM,Unfurnished,4,3,1300,1
1300000,Balikpapan Utara,172.0,320,SHM,Unfurnished,3,3,4400,1
