harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik
2950000,  Balikpapan Utara,384.0,240,SHM,Unfurnished,6,5,2200
1000000,  Balikpapan Utara,105.0,165,SHM,Unfurnished,3,2,2200
1240000,  Balikpapan Selatan,145.0,120,SHM,Furnished,4,2,3500
1500000,  Balikpapan Timur,200.0,299,SHM,Unfurnished,5,2,3500
15000000,  Balikpapan Utara,450.0,1700,SHM,Unfurnished,3,3,11000
609480,  Balikpapan Timur,45.0,120,HGB,Unfurnished,2,1,2200
600000,  Balikpapan Selatan,100.0,125,SHM,Unfurnished,2,2,2200
780000,  Balikpapan Selatan,105.0,150,SHM,Semi-furnished,3,3,2200
3850000,  Balikpapan Selatan,240.0,260,SHM,Unfurnished,5,4,2200
1700000,  Balikpapan Tengah,150.0,200,SHM,Unfurnished,2,1,2200
1300000,  Balikpapan Selatan,250.0,150,SHM,Unfurnished,5,4,2200
750000,  Balikpapan Selatan,120.0,120,SHM,Unfurnished,4,3,2200
750000,  Balikpapan Selatan,100.0,150,SHM,Unfurnished,3,2,2200
380000,  Balikpapan Tengah,102.0,102,SHM,Unfurnished,2,2,1300
1300000,  Gunung Bahagia,316.0,241,SHM,Unfurnished,4,5,3500
580000,  Balikpapan Utara,130.0,130,SHM,Unfurnished,4,1,2200
1750000,  Sepinggan,140.0,98,SHM,Unfurnished,3,3,2200
1400000,  Balikpapan Selatan,95.0,173,SHM,Semi-furnished,4,2,1300
395000,  Balikpapan Selatan,54.0,116,SHM,Unfurnished,3,1,1300
5000000,  Balikpapan Timur,400.0,235,SHM,Unfurnished,4,4,5500
2100000,  Balikpapan Utara,225.0,165,SHM,Unfurnished,3,2,3500
1250000,  Balikpapan Utara,144.0,600,HGB,Unfurnished,3,2,2200
2500000,  Balikpapan Selatan,150.0,221,SHM,Unfurnished,3,2,3500
2700000,  Balikpapan Baru,160.0,169,SHM,Unfurnished,4,3,4400
1600000,  Batu Ampar,100.0,179,SHM,Semi-furnished,3,2,3500
1200000,  Balikpapan Tengah,65.0,90,SHM,Unfurnished,3,3,1300
1320000,  Balikpapan Selatan,196.0,98,SHM,Unfurnished,5,3,2200
1150000,  Balikpapan Timur,190.0,136,SHM,Semi-furnished,3,2,1300
1300000,  Balikpapan Selatan,110.0,157,SHM,Furnished,3,2,2200
1000000,  Balikpapan Timur,115.0,225,SHM,Unfurnished,3,2,1300
3590000,  Balikpapan Utara,230.0,298,SHM,Unfurnished,5,4,3500
1500000,  Balikpapan Utara,274.0,137,SHM,Unfurnished,5,3,3500
1770000,  Balikpapan Selatan,135.0,150,SHM,Unfurnished,3,2,3500
1250000,  Balikpapan Selatan,81.0,125,SHM,Unfurnished,4,2,2200
1450000,  Balikpapan Selatan,105.0,153,HGB,Unfurnished,3,3,1300
3500000,  Balikpapan Baru,250.0,240,SHM,Unfurnished,5,4,2200
1300000,  Balikpapan Selatan,70.0,120,SHM,Unfurnished,3,2,3500
2200000,  Lamaru,400.0,700,SHM,Unfurnished,4,2,5500
1350000,  Balikpapan Selatan,140.0,150,SHM,Unfurnished,4,4,1300
4099999,  Telaga Sari,357.0,444,SHM,Unfurnished,8,4,6600
1380000,  Balikpapan Selatan,200.0,105,SHM,Unfurnished,3,3,2200
800000,  Balikpapan Utara,70.0,72,SHM,Unfurnished,3,1,4400
750000,  Balikpapan Utara,110.0,150,SHM,Unfurnished,3,2,1300
12000000,  Balikpapan Selatan,1134.0,900,SHM,Unfurnished,5,5,3500
7000000,  Balikpapan Tengah,800.0,960,SHM,Unfurnished,6,5,1300
14000000,  Balikpapan Tengah,500.0,1240,SHM,Unfurnished,6,6,6600
1240000,  Balikpapan Utara,145.0,120,SHM,Semi-furnished,4,2,3500
2800000,  Balikpapan Baru,300.0,220,HGB,Unfurnished,4,2,2200
3900000,  Sepinggan,500.0,450,SHM,Unfurnished,7,4,4400
1500000,  Manggar,300.0,400,SHM,Unfurnished,3,2,1300
2600000,  Balikpapan Baru,298.0,200,SHM,Semi-furnished,5,4,5500
880000,  Balikpapan Selatan,100.0,108,SHM,Semi-furnished,3,1,2200
1600000,  Balikpapan Selatan,207.0,144,SHM,Semi-furnished,5,3,4400
1400000,  Balikpapan Selatan,112.0,157,SHM,Semi-furnished,3,2,4400
700000,  Balikpapan Utara,200.0,243,SHM,Unfurnished,4,3,2200
1600000,  Balikpapan Selatan,150.0,111,SHM,Furnished,5,3,2200
650000,  Balikpapan Selatan,96.0,120,HGB,Unfurnished,6,6,1300
1700000,  Balikpapan Utara,88.0,98,HGB,Unfurnished,3,3,1300
680000,  Balikpapan Tengah,78.0,108,SHM,Semi-furnished,2,1,1300
1400000,  Balikpapan Barat,230.0,350,SHM,Unfurnished,7,3,3500
1800000,  Balikpapan Selatan,100.0,248,SHM,Unfurnished,3,2,2200
1500000,  Balikpapan Selatan,200.0,165,SHM,Unfurnished,4,3,5500
2200000,  Balikpapan Selatan,350.0,180,SHM,Semi-furnished,4,4,3500
4400000,  Balikpapan Baru,250.0,342,SHM,Furnished,4,5,5500
510000,  Balikpapan Selatan,42.0,87,SHM,Unfurnished,2,1,1300
1350000,  Balikpapan Selatan,100.0,120,SHM,Unfurnished,4,3,3500
1900000,  Karang Jati,263.0,283,SHM,Furnished,4,4,2200
726000,  Balikpapan Utara,90.0,157,SHM,Unfurnished,2,2,4400
675000,  Balikpapan Utara,110.0,110,SHM,Semi-furnished,2,1,1300
1150000,  Balikpapan Utara,240.0,200,SHM,Furnished,6,4,1300
1200000,  Balikpapan Selatan,200.0,150,SHM,Unfurnished,4,3,2200
2250000,  Balikpapan Selatan,144.0,138,SHM,Unfurnished,3,2,3500
2570000,  Damai,160.0,160,HGB,Unfurnished,4,3,4400
2200000,  Balikpapan Utara,200.0,204,SHM,Unfurnished,5,3,2200
1500000,  Balikpapan Utara,47.0,72,SHM,Furnished,2,1,2200
2500000,  Balikpapan Selatan,116.0,227,HGB,Furnished,3,2,1300
1200000,  Kariangau,276.0,318,SHM,Unfurnished,3,2,2200
2089999,  Gunung Bahagia,120.0,126,HGB,Unfurnished,3,3,2200
380000,  Lamaru,40.0,80,SHM,Unfurnished,2,1,1300
800000,  Balikpapan Selatan,36.0,36,SHM,Unfurnished,3,2,2200
675000,  Balikpapan Tengah,145.0,157,SHM,Unfurnished,5,2,900
6500000,  Balikpapan Tengah,200.0,516,SHM,Unfurnished,9,4,1300
2250000,  Balikpapan Selatan,144.0,138,SHM,Unfurnished,3,3,2200
2100000,  Gunung Bahagia,280.0,144,SHM,Unfurnished,4,2,2200
1600000,  Balikpapan Utara,140.0,200,SHM,Semi-furnished,3,2,3500
2300000,  Balikpapan Utara,243.0,250,SHM,Semi-furnished,6,2,1300
2530000,  Balikpapan Tengah,80.0,577,SHM,Unfurnished,4,3,2200
2450000,  Balikpapan Selatan,210.0,175,HGB,Furnished,3,2,2200
1400000,  Balikpapan Selatan,92.0,150,SHM,Unfurnished,2,1,2200
3810000,  Balikpapan Selatan,286.0,84,SHM,Unfurnished,0,3,2200
770000,  Balikpapan Selatan,90.0,108,SHM,Unfurnished,2,1,900
1840000,  Balikpapan Selatan,150.0,150,SHM,Semi-furnished,4,3,2200
1500000,  Balikpapan Utara,105.0,154,SHM,Unfurnished,4,4,2200
555000,  Kariangau,148.0,171,HGB,Unfurnished,2,2,2200
990000,  Balikpapan Utara,170.0,180,SHM,Unfurnished,4,3,2200
1050000,  Balikpapan Utara,110.0,225,SHM,Semi-furnished,2,1,2200
