harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
1500000,Samarinda Kota,36.0,90.0,SHM,Non-furnished,2,1,1300,1
3900000,Samarinda Utara,400.0,300.0,SHM,Non-furnished,6,4,3500,2
1000000,Samarinda Kota,240.0,150.0,SHM,Non-furnished,4,2,2200,2
400000,Samarinda Kota,80.0,231.0,SHM,Non-furnished,3,2,1300,1
1200000,Samarinda Kota,72.0,120.0,SHM,Non-furnished,3,2,1300,1
2080000,Samarinda Kota,93.0,140.0,HGB,Fully-furnished,3,2,2200,1
500000,Samarinda Kota,45.0,100.0,SHM,Non-furnished,2,1,1300,1
1000000,Samarinda Ulu,150.0,105.0,SHM,Non-furnished,3,2,1300,2
850000,Samarinda Utara,286.0,300.0,SHM,Non-furnished,2,2,1300,1
2500000,Samarinda Ulu,250.0,300.0,SHM,Non-furnished,3,2,1300,1
1300000,Samarinda Ulu,150.0,200.0,SHM,Non-furnished,2,1,1300,1
1100000,Samarinda Utara,250.0,300.0,SHM,Non-furnished,3,2,1300,1
1000000,Sungai Kunjang,180.0,250.0,SHM,Non-furnished,4,2,1300,1
5000000,Samarinda Ulu,250.0,350.0,SHM,Non-furnished,3,2,1300,1
400000,Samarinda Kota,20.0,106.0,SHM,Non-furnished,1,1,2200,1
7000000,Samarinda Ulu,310.0,440.0,SHM,Non-furnished,3,4,3500,1
3330000,Samarinda Ulu,250.0,276.0,SHM,Non-furnished,4,4,4400,1
7700000,Sungai Pinang,276.0,506.0,SHM,Non-furnished,8,5,3500,1
6000000,Samarinda Kota,374.0,165.0,SHM,Non-furnished,3,2,5500,2
2200000,Samarinda Ulu,250.0,163.0,SHM,Fully-furnished,4,4,4400,2
800000,Sungai Kunjang,160.0,98.0,SHM,Non-furnished,3,2,2200,2
2075000,Sungai Pinang,170.0,126.0,SHM,Non-furnished,4,3,3500,2
1650000,Samarinda Kota,300.0,150.0,SHM,Fully-furnished,4,3,2200,2
5875000,Samarinda Ulu,400.0,365.0,SHM,Non-furnished,5,3,3500,2
500000,Loa Janan Ilir,84.0,126.0,SHM,Non-furnished,3,1,1300,1
525000,Sambutan,110.0,110.0,SHM,Non-furnished,2,1,900,1
400000,Sungai Kunjang,144.0,168.0,SHM,Non-furnished,4,1,900,1
448000,Sungai Kunjang,46.0,102.0,SHM,Non-furnished,3,2,1300,1
448000,Sungai Kunjang,46.0,102.0,SHM,Non-furnished,3,2,1300,1
570000,Samarinda Kota,90.0,38.0,SHM,Semi-furnished,2,1,2200,2
925000,Samarinda Ulu,98.0,98.0,SHM,Non-furnished,3,2,2200,1
800000,Samarinda Kota,150.0,207.0,SHM,Non-furnished,3,2,1300,1
6500000,Samarinda Kota,200.0,312.0,SHM,Non-furnished,7,3,2200,1
1010000,Sungai Pinang,45.0,126.0,HGB,Non-furnished,2,1,2200,1
1060000,Sungai Pinang,34.0,150.0,HGB,Non-furnished,2,1,2200,1
500000,Sungai Kunjang,96.0,144.0,SHM,Non-furnished,2,1,1300,1
550000,Sambutan,120.0,120.0,SHM,Non-furnished,3,3,1300,1
1350000,Samarinda Kota,120.0,200.0,SHM,Non-furnished,2,1,1300,1
850000,Sambutan,54.0,144.0,SHM,Non-furnished,2,1,2200,1
2000000,Samarinda Utara,100.0,300.0,SHM,Non-furnished,3,3,3500,1
1500000,Sungai Pinang,84.0,105.0,SHM,Non-furnished,3,2,1300,1
1200000,Sungai Pinang,176.0,144.0,HGB,Non-furnished,3,2,2200,2
7000000,Samarinda Kota,350.0,408.0,SHM,Non-furnished,5,1,2200,1
1600000,Samarinda Ulu,270.0,300.0,SHM,Non-furnished,5,2,2200,1
8500000,Sungai Pinang,403.0,873.0,SHM,Non-furnished,3,3,5500,1
1400000,Sungai Pinang,168.0,105.0,SHM,Semi-furnished,3,2,6600,2
1000000,Samarinda Utara,200.0,298.0,SHM,Non-furnished,5,3,2200,1
2150000,Samarinda Ulu,125.0,180.0,SHM,Non-furnished,3,3,3500,1
850000,Samarinda Kunjang,200.0,100.0,SHM,Non-furnished,1,2,2200,2
2000000,Samarinda Kota,60.0,131.0,SHM,Non-furnished,2,2,2200,1
800000,Loa Janan Ilir,90.0,135.0,SHM,Non-furnished,3,1,1300,1
625000,Sambutan,65.0,135.0,SHM,Non-furnished,2,1,2200,1
1695000,Palaran,160.0,120.0,HGB,Non-furnished,3,2,2200,2
2700000,Samarinda Kota,150.0,200.0,SHM,Non-furnished,3,3,3500,1
950000,Sungai Kunjang,176.0,280.0,SHM,Non-furnished,4,3,2200,1
2700000,Samarinda Ulu,200.0,234.0,SHM,Non-furnished,4,3,2200,1
500000,Samarinda Kota,50.0,105.0,SHM,Non-furnished,2,2,2200,1
500000,Loa Janan Ilir,75.0,110.0,SHM,Non-furnished,2,0,1300,1
1650000,Samarinda Ulu,100.0,167.0,SHM,Semi-furnished,2,4,3500,1
500000,Samarinda Kota,90.0,120.0,SHM,Non-furnished,2,1,1300,1
1700000,Sungai Pinang,120.0,105.0,SHM,Non-furnished,3,2,2200,2
5300000,Sungai Pinang,216.0,480.0,SHM,Non-furnished,3,4,2200,1
5000000,Sungai Pinang,380.0,469.0,SHM,Non-furnished,4,5,2200,1
1200000,Sungai Kunjang,260.0,303.0,SHM,Non-furnished,4,2,1300,1
2200000,Samarinda Ulu,330.0,240.0,SHM,Non-furnished,3,3,2200,2
1400000,Samarinda Ulu,90.0,162.0,SHM,Non-furnished,3,2,1300,1
850000,Loa Janan Ilir,80.0,126.0,HGB,Non-furnished,2,1,1300,1
1150000,Sungai Kunjang,160.0,183.0,SHM,Non-furnished,2,1,2200,1
755000,Loa Janan Ilir,70.0,78.0,HGB,Non-furnished,3,2,1300,1
1350000,Samarinda Kunjang,250.0,350.0,SHM,Non-furnished,3,2,2200,1
1400000,Samarinda Utara,99.0,300.0,SHM,Semi-furnished,3,3,3500,1
2100000,Sungai Pinang,93.0,140.0,SHM,Non-furnished,2,2,2200,1
3600000,Sungai Pinang,197.0,225.0,SHM,Non-furnished,2,2,2200,1
800000,Samarinda Utara,60.0,140.0,SHM,Semi-furnished,2,1,1300,1
2200000,Sungai Pinang,135.0,214.0,SHM,Non-furnished,3,2,5500,1
1700000,Sungai Pinang,122.0,128.0,SHM,Non-furnished,3,2,2200,1
1200000,Sungai Pinang,80.0,160.0,SHM,Non-furnished,3,2,1300,1
2385000,Sungai Pinang,94.0,144.0,SHM,Non-furnished,3,2,2200,1
850000,Samarinda Kota,72.0,120.0,SHM,Non-furnished,4,1,1300,1
850000,Sambutan,400.0,255.0,SHM,Semi-furnished,4,2,1300,2
1050000,Sungai Pinang,65.0,105.0,SHM,Fully-furnished,2,1,1300,1
5200000,Samarinda Kota,210.0,177.0,SHM,Non-furnished,3,2,1300,2
850000,Sambutan,46.0,184.0,SHM,Non-furnished,2,1,1300,1
1500000,Samarinda Kunjang,150.0,200.0,SHM,Non-furnished,4,2,2200,1
5500000,Samarinda Ulu,380.0,444.0,SHM,Non-furnished,5,7,2200,1
60000000,Samarinda Kota,500.0,2000.0,SHM,Non-furnished,8,3,16500,1
4300000,Sungai Pinang,240.0,243.0,SHM,Non-furnished,4,4,2200,1
1240000,Sungai Pinang,120.0,105.0,SHM,Non-furnished,3,2,2200,2
1810000,Sungai Pinang,90.0,128.0,SHM,Non-furnished,3,2,2200,1
1515000,Samarinda Utara,170.0,200.0,SHM,Non-furnished,5,3,4400,1
2385000,Sungai Pinang,94.0,144.0,SHM,Non-furnished,3,2,2200,1
1500000,Loa Janan Ilir,150.0,356.0,SHM,Non-furnished,3,2,2200,1
3500000,Samarinda Utara,200.0,243.0,SHM,Non-furnished,4,3,2200,1
415500,Sungai Pinang,45.0,84.0,SHM,Non-furnished,2,1,1300,1
850000,Samarinda Seberang,90.0,120.0,SHM,Non-furnished,2,1,1300,1
600000,Samarinda Utara,130.0,164.0,HGB,Non-furnished,3,1,2200,1
2800000,Samarinda Ulu,230.0,235.0,SHM,Non-furnished,4,3,3500,1
750000,Samarinda Ilir,54.0,144.0,SHM,Non-furnished,2,1,2200,1
450000,Sungai Kunjang,85.0,85.0,SHM,Non-furnished,2,1,900,1
900000,Samarinda Seberang,38.0,90.0,SHM,Non-furnished,2,1,2200,1
968000,Sungai Kunjang,54.0,177.0,SHM,Non-furnished,2,1,1300,1
1990000,Samarinda Utara,96.0,126.0,HGB,Non-furnished,3,2,2200,1
700000,Sungai Kunjang,120.0,200.0,SHM,Non-furnished,2,1,2200,1
2575000,Samarinda Ulu,250.0,300.0,SHM,Non-furnished,3,3,10600,1
5000000,Sungai Pinang,391.0,391.0,SHM,Non-furnished,3,4,5500,1
828000,Sungai Kunjang,54.0,100.0,SHM,Non-furnished,2,1,1300,1
968000,Samarinda Ulu,54.0,177.0,SHM,Non-furnished,2,1,1300,1
828000,Sungai Kunjang,54.0,100.0,SHM,Non-furnished,2,1,1300,1
4300000,Samarinda Utara,240.0,243.0,SHM,Non-furnished,4,4,2200,1
935000,Samarinda Ulu,200.0,200.0,SHM,Non-furnished,3,1,1300,1
650000,Loa Janan Ilir,90.0,120.0,SHM,Non-furnished,2,1,1300,1
500000,Sungai Kunjang,55.0,75.0,SHM,Non-furnished,2,1,1300,1
3500000,Samarinda Ulu,160.0,600.0,SHM,Non-furnished,4,3,3500,1
2500000,Samarinda Utara,276.0,182.0,SHM,Non-furnished,5,3,3500,2
785000,Sungai Pinang,45.0,120.0,SHM,Non-furnished,2,1,2200,1
1200000,Loa Janan Ilir,100.0,180.0,SHM,Non-furnished,4,2,3500,1
685000,Samarinda Ulu,65.0,65.0,SHM,Non-furnished,3,1,1300,1
2500000,Samarinda Ulu,130.0,240.0,SHM,Non-furnished,3,3,2200,1
800000,Samarinda Kota,90.0,108.0,SHM,Non-furnished,2,1,1300,1
1150000,Samarinda Ulu,200.0,200.0,SHM,Non-furnished,3,2,2200,1
700000,Loa Janan Ilir,48.0,120.0,SHM,Non-furnished,2,1,1300,1
500000,Samarinda Seberang,100.0,150.0,SHM,Non-furnished,3,1,1300,1
1600000,Samarinda Utara,90.0,200.0,SHM,Non-furnished,3,2,2200,1
850000,Samarinda Kota,129.0,150.0,SHM,Non-furnished,3,2,2200,1
697020,Loa Janan Ilir,45.0,105.0,HGB,Non-furnished,2,1,1300,1
1120000,Samarinda Kota,45.0,126.0,HGB,Non-furnished,2,1,2200,1
1200000,Samarinda Kota,200.0,220.0,SHM,Non-furnished,3,2,1300,1
2000000,Samarinda Utara,250.0,241.0,SHM,Non-furnished,8,4,2200,2
3800000,Samarinda Kota,200.0,250.0,SHM,Non-furnished,3,2,2200,1
1600000,Samarinda Kota,130.0,150.0,SHM,Semi-furnished,3,2,5500,1
1800000,Loa Janan Ilir,106.0,202.0,SHM,Non-furnished,4,4,2200,1
390000,Loa Janan Ilir,115.0,102.0,SHM,Semi-furnished,2,2,1300,2
2300000,Samarinda Kota,225.0,459.0,SHM,Non-furnished,4,1,2200,1
880000,Samarinda Kota,90.0,90.0,SHM,Non-furnished,3,2,2200,1
4500000,Samarinda Kota,220.0,225.0,SHM,Non-furnished,3,1,900,1
1500000,Sungai Pinang,500.0,253.0,SHM,Semi-furnished,5,3,2200,2
1300000,Samarinda Ulu,136.0,136.0,SHM,Non-furnished,8,4,2200,1
1440000,Samarinda Kota,243.0,552.0,SHM,Non-furnished,9,9,8000,1
1900000,Samarinda Kota,96.0,126.0,HGB,Non-furnished,3,2,2200,1
1700000,Samarinda Seberang,250.0,285.0,SHM,Non-furnished,3,2,2200,1
4500000,Samarinda Seberang,329.0,885.0,SHM,Non-furnished,7,6,2200,1
4575000,Sungai Kunjang,240.0,270.0,SHM,Non-furnished,7,3,3500,1
1540000,Samarinda Kunjang,150.0,180.0,SHM,Non-furnished,3,2,1300,1
750000,Sungai Kunjang,200.0,150.0,SHM,Non-furnished,3,2,1300,2
3500000,Samarinda Kota,369.0,208.0,SHM,Non-furnished,6,4,2200,2
2800000,Sungai Pinang,225.0,144.0,SHM,Fully-furnished,5,4,2200,2
2600000,Samarinda Utara,200.0,234.0,SHM,Semi-furnished,3,3,2200,1
1300000,Samarinda Ulu,200.0,200.0,SHM,Non-furnished,6,4,2200,1
3000000,Sungai Kunjang,320.0,240.0,HGB,Non-furnished,5,4,3500,2
3700000,Samarinda Kota,400.0,250.0,SHM,Non-furnished,4,3,5500,2
1100000,Sambutan,320.0,265.0,SHM,Non-furnished,3,3,2200,2
900000,Sambutan,100.0,144.0,SHM,Fully-furnished,3,2,2200,1
704350,Loa Janan Ilir,38.0,108.0,HGB,Non-furnished,2,1,1300,1
560120,Loa Janan Ilir,39.0,72.0,HGB,Non-furnished,2,1,1300,1
733480,Loa Janan Ilir,40.0,108.0,HGB,Non-furnished,2,1,1300,1
958110,Loa Janan Ilir,57.0,120.0,HGB,Non-furnished,3,1,1300,1
837190,Sungai Pinang,34.0,96.0,HGB,Non-furnished,2,1,2200,1
1540000,Samarinda Ulu,45.0,140.0,HGB,Non-furnished,2,1,2200,1
