Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
816000000," Samarinda, Loa Janan Ilir",Rumah,Primary,48.0,105.0,HGB,Non-furnished
1510000000," Samarinda, Loa Janan Ilir",Rumah,Primary,96.0,201.0,HGB,Non-furnished
2260000000," Samarinda, Loa Janan Ilir",Rumah,Primary,157.0,280.0,HGB,Non-furnished
1570000000," Samarinda, Loa Janan Ilir",Rumah,Primary,110.0,215.0,HGB,Non-furnished
548000000," Samarinda, Loa Janan Ilir",Rumah,Primary,27.0,84.0,HGB,Non-furnished
970000000," Samarinda, Samarinda Utara",Rumah,Secondary,90.0,98.0,SHM,Semi-furnished
3600000000," Samarinda, Samarinda Kota",Rumah,Secondary,250.0,320.0,SHM,Semi-furnished
1300000000," Samarinda, Samarinda Utara",Rumah,Secondary,200.0,298.0,SHM,
475000000," Samarinda, Samarinda Utara",Rumah,Secondary,45.0,120.0,SHM,Semi-furnished
1500000000," Samarinda, Sungai Pinang",Rumah,Secondary,124.0,162.0,SHM,
800000000," Samarinda, Sambutan",Rumah,Secondary,63.0,200.0,Lain-lain,
4900000000," Samarinda, Samarinda Utara",Rumah,Secondary,450.0,300.0,SHM,
1600000000," Samarinda, Samarinda Kota",Rumah,Secondary,380.0,400.0,SHM,Semi-furnished
3000000000," Samarinda, Samarinda Kota",Rumah,Secondary,180.0,330.0,SHM,
1000000000," Samarinda, Sungai Pinang",Rumah,Secondary,230.0,150.0,SHM,
3560000000," Samarinda, Samarinda Kota",Rumah,Primary,197.0,225.0,HGB,
499060000," Samarinda, Loa Janan Ilir",Rumah,,39.0,72.0,PPJB,
1600000000," Samarinda, Samarinda Ulu",Rumah,,200.0,300.0,SHM,
1500000000," Samarinda, Loa Janan Ilir",Rumah,,96.0,135.0,SHM,
2700000000," Samarinda, Loa Janan Ilir",Rumah,,230.0,240.0,SHM,
3900000000," Samarinda, Samarinda Ulu",Rumah,Secondary,300.0,345.0,SHM,
1650000000," Samarinda, Samarinda Ulu",Rumah,,150.0,150.0,SHM,
900000000," Samarinda, Loa Janan Ilir",Rumah,Secondary,240.0,240.0,SHM,
1500000000," Samarinda, Samarinda Utara",Rumah,Secondary,200.0,298.0,SHM,
3000000000," Samarinda, Samarinda Kota",Rumah,Secondary,200.0,210.0,SHM,
1200000000," Samarinda, Samarinda Seberang",Rumah,Secondary,260.0,180.0,SHM,Semi-furnished
1020000000," Samarinda, Samarinda Seberang",Rumah,Secondary,94.0,180.0,SHM,Non-furnished
7600000000," Samarinda, Samarinda Ulu",Rumah,Secondary,250.0,225.0,SHM,Semi-furnished
2500000000," Samarinda, Samarinda Ulu",Rumah,Primary,144.0,128.0,HGB,Semi-furnished
2500000000," Samarinda, Samarinda Ulu",Rumah,Primary,900.0,1100.0,HGB,Semi-furnished
2500000000," Samarinda, Samarinda Kota",Rumah,Primary,165.0,200.0,HGB,Semi-furnished
5000000000," Samarinda, Samarinda Utara",Rumah,Secondary,350.0,200.0,SHM,
1000000000," Samarinda, Sungai Pinang",Rumah,Secondary,136.0,136.0,SHM,
690000000," Samarinda, Samarinda Kota",Rumah,Secondary,65.0,155.0,SHM,Non-furnished
4000000000," Samarinda, Samarinda Kota",Rumah,Secondary,300.0,345.0,SHM,
4900000000," Samarinda, Samarinda Utara",Rumah,Secondary,450.0,300.0,SHM,
675000000," Samarinda, Loa Janan Ilir",Rumah,Secondary,80.0,120.0,HGB,
2080000000," Samarinda, Samarinda Utara",Rumah,Primary,93.0,140.0,HGB,Non-furnished
1300000000," Samarinda, Samarinda Utara",Rumah,Secondary,147.0,247.0,SHM,
3500000000," Samarinda, Sungai Pinang",Rumah,,300.0,200.0,SHM,
3550000000," Samarinda, Sungai Kunjang",Rumah,,240.0,199.0,HGB,
2500000000," Samarinda, Samarinda Kota",Rumah,Secondary,179.0,204.0,SHM,Semi-furnished
11000000000," Samarinda, Samarinda Kota",Rumah,,560.0,450.0,SHM,
11000000000," Samarinda, Sungai Pinang",Rumah,,260.0,460.0,SHM,
1900000000," Samarinda, Sungai Pinang",Rumah,,96.0,126.0,HGB,
2760000000," Samarinda, Sungai Pinang",Rumah,,96.0,147.0,HGB,
1640000000," Samarinda, Samarinda Ulu",Rumah,,82.0,140.0,HGB,
