judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kondisi Perabotan
Rumah Dijual,https://www.rumah123.com//properti/samarinda/hos17171638/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1924596/2024-05-22-04-33-48-0388fc00-b56c-4aaa-b9d0-771c85ed7f90.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH SIAP HUNI DIPERUMAHAN NYAMAN SAMARINDA SEBERANG 0869,https://www.rumah123.com//properti/samarinda/hos17104457/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-05-14-16-05-37-bc3e5bb0-2bce-4276-bd3d-47cd6825b033.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH DI AIR HITAM SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17055920/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1676023/2024-05-08-14-37-46-336376ef-c93d-4099-b3a0-faef0546ca4e-1715153866.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah di Tamansari Grand Samarinda Residence,https://www.rumah123.com//properti/samarinda/hos16994287/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1998952/2024-05-01-05-08-30-9bb46e83-3e87-4d0d-bb8a-b37c1227544a.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH JUAL SIAP HUNI SAMARINDA ULU BEBAS BANJIR 5671,https://www.rumah123.com//properti/samarinda/hos16944308/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-04-24-07-30-33-8295feb5-00f6-4a46-9d38-bf8b0a7bcf3f.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DI  RUMAH TENGAH KOTA JALAN PREVAB SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16832136/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16832136/original/hos16832136-rumah-di-jual-di-samarinda-kota-samarinda-1712127707.jpg,DI  RUMAH TENGAH KOTA JALAN PREVAB SAMARINDA,"Rp 2,5 Miliar","Samarinda Kota, Samarinda",3,2,336 m²,234 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,900 Watt,N/A
DI  RUMAH MURAH PINGGIR JALAN TENGAH KOTA SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16832025/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16832025/original/hos16832025-rumah-di-jual-di-samarinda-kota-samarinda-1712127215.jpg,DI  RUMAH MURAH PINGGIR JALAN TENGAH KOTA SAMARINDA,Rp 750 Juta,"Samarinda Kota, Samarinda",2,1,72 m²,112 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,N/A
DI  RUMAH CANTIK JALAN WAHID HASYIM 2 SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16828319/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16828319/original/hos16828319-rumah-di-jual-di-samarinda-utara-samarinda-1712105243.jpg,DI  RUMAH CANTIK JALAN WAHID HASYIM 2 SAMARINDA,"Rp 2,5 Miliar","Samarinda Utara, Samarinda",4,3,200 m²,400 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,N/A
Rumah Gerilya Solong pinggir jalan raya,https://www.rumah123.com//properti/samarinda/hos16780270/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16780270/original/hos16780270-rumah-di-jual-di-sungai-pinang-samarinda-1711522700.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah semi kantor dan ada bangunan sarang burung,https://www.rumah123.com//properti/samarinda/hos16721527/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16721527/original/hos16721527-rumah-di-jual-di-sambutan-samarinda-1710912382.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
