harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
Rp 6 Miliar Rp 200 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",300 m2,400 m2,SHM,-,5,3,N/A,4400 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",480 m2,160 m2,SHM,-,6,3,N/A,2200 Watt
Rp 510 Juta,"Kalimantan Timur, Samarinda, Samarinda Ilir",79 m2,77 m2,SHM,Fully-furnished,2,1,N/A,900 Watt
Rp 350 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",67 m2,110 m2,SHM,-,2,1,N/A,1300 Watt
Rp 440 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",40 m2,60 m2,SHM,Semi-furnished,2,1,N/A,1300 Watt
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ilir",235 m2,467 m2,SHM,-,6,3,N/A,3500 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",120 m2,128 m2,SHM,-,4,2,N/A,2200 Watt
Rp 9 Miliar Rp 300 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",450 m2,618 m2,SHM,-,7,5,N/A,6600 Watt
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",260 m2,256 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
Rp 930 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",38 m2,97 m2,SHM,-,2,1,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 8 Miliar,"Kalimantan Timur, Samarinda, Sungai Kunjang",160 m2,558 m2,SHM,Non-furnished,5,2,N/A,5500 Watt
"Rp 1,62 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",84 m2,105 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",400 m2,200 m2,SHM,-,4,3,N/A,2200 Watt
Rp 4 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",120 m2,540 m2,SHM,-,3,2,N/A,2200 Watt
Rp 499 Juta,"Kalimantan Timur, Samarinda, Palaran",46 m2,140 m2,Lain-lain,-,2,1,N/A,1300 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",120 m2,184 m2,SHM,-,4+1,3,N/A,5500 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",155 m2,220 m2,SHM,-,4,2,N/A,2200 Watt
Rp 816 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",48 m2,105 m2,HGB,-,2,1,N/A,2200 Watt
