Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
Rp 450 Juta,"Kalimantan Timur, Balikpapan, Batu Ampar",Rumah,Secondary,120 m2,150 m2,SHM,-
"
Rp 6,5 Miliar
","Kalimantan Timur, Balikpapan, Sepinggan",Rumah,Secondary,415 m2,125 m2,HGB,-
Rp 925 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,100 m2,108 m2,SHM,-
"Rp 1,07 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,145 m2,120 m2,SHM,-
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,226 m2,280 m2,SHM,Fully-furnished
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,47 m2,60 m2,HGB,Non-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,244 m2,285 m2,SHM,Semi-furnished
"Rp 3,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,235 m2,315 m2,SHM,Fully-furnished
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,47 m2,78 m2,SHM,Semi-furnished
Rp 440 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,72 m2,84 m2,SHM,Non-furnished
"Rp 2,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,150 m2,221 m2,SHM,Fully-furnished
"Rp 2,9 Miliar Rp 80 Juta","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,200 m2,220 m2,HGB,Non-furnished
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,250 m2,165 m2,SHM,-
