harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",145 m2,120 m2,SHM,-,4,2,N/A,3500 Watt
"Rp 1,28 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",100 m2,200 m2,HGB,-,3,2,N/A,3500 Watt
"Rp 2,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",208 m2,144 m2,SHM,-,5,2,N/A,2200 Watt
"Rp 2,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",160 m2,169 m2,HGB,-,4,3,N/A,4400 Watt
"Rp 1,22 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",210 m2,210 m2,SHM,-,3,4,N/A,2200 Watt
Rp 450 Juta,"Kalimantan Timur, Balikpapan, Batu Ampar",120 m2,150 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 6,5 Miliar","Kalimantan Timur, Balikpapan, Sepinggan",415 m2,125 m2,HGB,-,4+1,4,N/A,3500 Watt
Rp 925 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,108 m2,SHM,-,3,1,N/A,2200 Watt
"Rp 1,07 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",145 m2,120 m2,SHM,-,4,1,N/A,3500 Watt
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",226 m2,280 m2,SHM,Fully-furnished,5+1,5+1,N/A,4400 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",244 m2,285 m2,SHM,Semi-furnished,5,4,N/A,3500 Watt
"Rp 3,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",235 m2,315 m2,SHM,Fully-furnished,5,3,N/A,5500 Watt
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,78 m2,SHM,Semi-furnished,2,2,N/A,1300 Watt
Rp 440 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",72 m2,84 m2,SHM,Non-furnished,2,1,N/A,900 Watt
"Rp 2,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,221 m2,SHM,Fully-furnished,4,2,N/A,5500 Watt
