harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",165 m2,240 m2,SHM,Semi-furnished,4,2,N/A,2200 Watt
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,300 m2,SHM,Fully-furnished,3+5,2+4,N/A,3500 Watt
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",150 m2,319 m2,SHM,-,4+1,5,N/A,4400 Watt
Rp 835 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",140 m2,150 m2,SHM,Non-furnished,3,2,N/A,1300 Watt
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",60 m2,178 m2,SHM,Semi-furnished,3,2,N/A,2200 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",400 m2,330 m2,SHM,Non-furnished,4,5,N/A,4400 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",268 m2,121 m2,SHM,-,15,8,N/A,3500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 625 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",78 m2,135 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
Rp 680 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",140 m2,150 m2,SHM,Non-furnished,2,2,N/A,1300 Watt
"Rp 599,99 Juta Rp 30 Juta","Kalimantan Timur, Balikpapan, Balikpapan Timur",60 m2,120 m2,SHM,-,3,2,N/A,1300 Watt
Rp 975 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",54 m2,168 m2,HGB,Non-furnished,2,1,N/A,2200 Watt
"Rp 1,05 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",45 m2,104 m2,SHM,Semi-furnished,2,1,N/A,2200 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",154 m2,154 m2,SHM,-,4+1,3,N/A,5500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 870 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",60 m2,150 m2,SHM,-,2,1,N/A,1300 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",110 m2,120 m2,SHM,Semi-furnished,2,2,N/A,2200 Watt
Rp 3 Miliar,"Kalimantan Timur, Balikpapan, Damai",298 m2,200 m2,SHM,-,5+2,4+1,N/A,5500 Watt
"Rp 1,08 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,200 m2,SHM,-,4,2,N/A,3500 Watt
Rp 990 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",110 m2,120 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
Rp 890 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",45 m2,120 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",80 m2,150 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
"Rp 1,22 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,120 m2,SHM,Non-furnished,2+1,2+1,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",110 m2,157 m2,SHM,Fully-furnished,3,2,N/A,2200 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",100 m2,60 m2,HGB,Non-furnished,2,2,N/A,1300 Watt
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",128 m2,128 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 3,8 Miliar","Kalimantan Timur, Balikpapan, Manggar",250 m2,580 m2,SHM,Fully-furnished,4,2,N/A,53000 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,200 m2,SHM,Fully-furnished,3+1,3,N/A,7700 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",170 m2,300 m2,SHM,Fully-furnished,3,2,N/A,2200 Watt
Rp 600 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",70 m2,90 m2,SHM,-,2,1,N/A,1300 Watt
Rp 800 Juta Rp 35 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",90 m2,120 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Batu Ampar",240 m2,240 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 1,29 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",240 m2,240 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",180 m2,330 m2,SHM,-,4,3,N/A,2200 Watt
Rp 430 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",30 m2,70 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",200 m2,165 m2,SHM,Non-furnished,3,2,N/A,1300 Watt
Rp 830 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",36 m2,98 m2,SHM,Fully-furnished,2,1,N/A,1300 Watt
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Damai",130 m2,240 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
Rp 3 Miliar Rp 75 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",250 m2,300 m2,SHM,-,3,3,N/A,3500 Watt
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",92 m2,140 m2,SHM,-,2,2,N/A,2200 Watt
"Rp 1,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",205 m2,200 m2,SHM,-,3+1,2+1,N/A,22000 Watt
"Rp 2,8 Miliar Rp 75 Juta","Kalimantan Timur, Balikpapan, Damai",120 m2,240 m2,SHM,-,3+1,2+1,N/A,2200 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",264 m2,285 m2,SHM,Semi-furnished,5,4,N/A,3500 Watt
"Rp 2,26 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,133 m2,SHM,-,3+1,3+1,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Klandasan Ilir",120 m2,128 m2,SHM,-,6,2,N/A,2200 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,160 m2,SHM,-,4,4,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",243 m2,250 m2,SHM,Semi-furnished,6,2,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Balikpapan, Damai",150 m2,150 m2,SHM,-,4,2,N/A,900 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",130 m2,150 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",80 m2,577 m2,SHM,Semi-furnished,4,2,N/A,2200 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",140 m2,212 m2,SHM,-,2+1,1+1,N/A,2200 Watt
"Rp 3,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",234 m2,135 m2,SHM,-,5,3,N/A,1300 Watt
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,60 m2,SHM,-,2,2,N/A,1300 Watt
Rp 775 Juta,"Kalimantan Timur, Balikpapan, Prapatan",200 m2,153 m2,SHM,-,5,2,N/A,1300 Watt
Rp 790 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,200 m2,SHM,Fully-furnished,3,2,N/A,1300 Watt
"Rp 2,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",108 m2,200 m2,SHM,Semi-furnished,3,3,N/A,2200 Watt
"Rp 4,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",90 m2,494 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
Rp 395 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",75 m2,116 m2,SHM,Non-furnished,3,1,N/A,1300 Watt
Rp 660 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",90 m2,90 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
Rp 673 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",42 m2,78 m2,SHM,-,3,1,N/A,1300 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",255 m2,150 m2,SHM,Semi-furnished,3,3,N/A,3500 Watt
"Rp 2,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",250 m2,600 m2,SHM,Non-furnished,2+1,3,N/A,5500 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",184 m2,300 m2,SHM,-,4+1,3,N/A,2200 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",65 m2,152 m2,HGB,-,3+1,2+1,N/A,1300 Watt
"Rp 3,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,1850 m2,HGB,-,3,4,N/A,3500 Watt
Rp 300 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",96 m2,96 m2,SHM,-,6,1,N/A,2200 Watt
Rp 600 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",49 m2,136 m2,SHM,-,2,1,N/A,1300 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",96 m2,120 m2,SHM,-,2+1,1,N/A,3500 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",180 m2,96 m2,SHM,-,4,3,N/A,2200 Watt
Rp 850 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",54 m2,98 m2,SHM,-,3,2,N/A,1300 Watt
Rp 870 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",100 m2,144 m2,SHM,-,2,1,N/A,1300 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",156 m2,100 m2,SHM,-,5,2,N/A,2200 Watt
Rp 470 Juta,"Kalimantan Timur, Balikpapan, Batu Ampar",160 m2,160 m2,SHM,-,4,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 1,88 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",90 m2,301 m2,SHM,-,3,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"
Rp 825 Juta
","Kalimantan Timur, Balikpapan, Balikpapan Utara",80 m2,113 m2,SHM,-,2,1,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Batakan",100 m2,130 m2,SHM,-,3,2,N/A,2200 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,102 m2,SHM,-,2,1,N/A,5500 Watt
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",88 m2,98 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 1,06 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",65 m2,90 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",65 m2,105 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 1,37 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",112 m2,112 m2,SHM,-,2,2,N/A,2200 Watt
Rp 780 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",45 m2,84 m2,SHM,Non-furnished,3,1,N/A,1300 Watt
Rp 698 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",40 m2,78 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 4,5 Miliar Rp 150 Juta","Kalimantan Timur, Balikpapan, Balikpapan Baru",250 m2,200 m2,SHM,Fully-furnished,5+1,5,N/A,4400 Watt
"Rp 4,5 Miliar","Kalimantan Timur, Balikpapan, Gn. Sari Ilir",135 m2,206 m2,SHM,-,7,7,N/A,2200 Watt
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",220 m2,230 m2,SHM,-,6,4,N/A,2200 Watt
"Rp 7,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",289 m2,612 m2,SHM,-,6+2,6+1,N/A,5500 Watt
Rp 3 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,248 m2,SHM,Non-furnished,3+1,3,N/A,2200 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",135 m2,235 m2,SHM,-,2,2,N/A,4400 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",250 m2,180 m2,HGB,Semi-furnished,3,2,N/A,2200 Watt
"Rp 7,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",600 m2,373 m2,SHM,Non-furnished,5+1,5+1,N/A,5500 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,400 m2,SHM,Non-furnished,4,2,N/A,1300 Watt
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",260 m2,674 m2,SHM,-,3+1,3+1,N/A,4400 Watt
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",660 m2,674 m2,SHM,Semi-furnished,4,4,N/A,4400 Watt
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,200 m2,SHM,Non-furnished,4,4,N/A,3500 Watt
Rp 7 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",500 m2,673 m2,SHM,-,3,3,N/A,3500 Watt
"Rp 2,5 Miliar Rp 60 Juta","Kalimantan Timur, Balikpapan, Sepinggan",250 m2,200 m2,SHM,-,5,3,N/A,2200 Watt
"Rp 2,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",176 m2,112 m2,SHM,-,4,2,N/A,5500 Watt
"Rp 5,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",400 m2,610 m2,SHM,-,3+2,3+1,N/A,10000 Watt
"Rp 1,2 Miliar Rp 60 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",195 m2,195 m2,SHM,-,3,2,N/A,4400 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",80 m2,144 m2,SHM,-,3,1,N/A,2200 Watt
"Rp 1,96 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",61 m2,147 m2,PPJB,-,2,1,N/A,1300 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",138 m2,200 m2,SHM,-,3,2,N/A,2200 Watt
