,harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai,predicted_price,diff_in_percent
763,"Rp 2,900,000",Balikpapan Selatan,240.0,140,SHM,Unfurnished,4,3,2200,2,"Rp 2,677,000",7.69%
567,"Rp 670,000",Balikpapan Selatan,120.0,142,SHM,Unfurnished,3,1,1300,1,"Rp 879,700",-31.31%
1533,"Rp 3,600,000",Balikpapan Tengah,300.0,150,SHM,Unfurnished,4,2,2200,2,"Rp 2,455,600",31.79%
56,"Rp 2,500,000",Balikpapan Selatan,172.0,510,SHM,Unfurnished,4,3,4400,1,"Rp 3,846,700",-53.87%
1089,"Rp 1,500,000",Balikpapan Selatan,145.0,120,SHM,Unfurnished,4,2,3500,2,"Rp 1,378,100",8.12%
636,"Rp 800,000",Balikpapan Selatan,200.0,100,HGB,Unfurnished,6,4,2200,2,"Rp 2,025,300",-153.16%
1138,"Rp 2,650,000",Balikpapan Selatan,300.0,292,SHM,Unfurnished,3,2,2200,2,"Rp 2,398,800",9.48%
203,"Rp 2,300,000",Balikpapan Utara,243.0,250,SHM,Semi-furnished,6,2,1300,1,"Rp 1,389,900",39.57%
115,"Rp 400,000",Muara Rapak,80.0,100,SHM,Unfurnished,3,1,2200,1,"Rp 823,500",-105.88%
774,"Rp 2,100,000",Balikpapan Tengah,371.0,296,SHM,Unfurnished,3,2,4400,2,"Rp 2,166,800",-3.18%
1541,"Rp 522,000",Balikpapan Selatan,173.0,164,HGB,Unfurnished,2,1,4400,2,"Rp 1,244,700",-138.44%
452,"Rp 500,000",Balikpapan Utara,96.0,96,SHM,Unfurnished,2,2,2200,1,"Rp 943,900",-88.79%
850,"Rp 1,800,000",Balikpapan Utara,160.0,186,SHM,Unfurnished,4,4,2200,1,"Rp 1,636,000",9.11%
67,"Rp 2,250,000",Sepinggan,200.0,403,SHM,Unfurnished,3,2,2200,1,"Rp 2,392,200",-6.32%
1435,"Rp 7,500,000",Balikpapan Baru,300.0,300,SHM,Unfurnished,3,2,6600,1,"Rp 3,120,500",58.39%
264,"Rp 1,010,000",Balikpapan Utara,72.0,120,HGB,Semi-furnished,4,2,2200,1,"Rp 1,084,200",-7.35%
1132,"Rp 2,250,000",Balikpapan Selatan,92.0,105,HGB,Unfurnished,3,1,2200,1,"Rp 1,142,800",49.21%
1143,"Rp 1,600,000",Balikpapan Tengah,150.0,193,SHM,Unfurnished,5,4,2200,1,"Rp 1,537,200",3.93%
821,"Rp 4,500,000",Balikpapan Selatan,255.0,206,SHM,Unfurnished,5,4,2200,2,"Rp 3,303,100",26.60%
123,"Rp 609,480",Balikpapan Timur,45.0,120,HGB,Unfurnished,2,1,2200,1,"Rp 742,800",-21.87%
317,"Rp 2,200,000",Balikpapan Baru,200.0,200,SHM,Unfurnished,5,3,2200,1,"Rp 2,072,600",5.79%
1273,"Rp 3,500,000",Balikpapan Utara,319.0,319,SHM,Unfurnished,4,5,4400,1,"Rp 3,106,900",11.23%
1509,"Rp 2,800,000",Balikpapan Selatan,298.0,200,SHM,Unfurnished,5,4,5500,2,"Rp 2,845,900",-1.64%
679,"Rp 550,000",Balikpapan Utara,48.0,150,SHM,Unfurnished,2,1,1300,1,"Rp 709,700",-29.04%
273,"Rp 2,000,000",Balikpapan Tengah,124.0,151,SHM,Unfurnished,3,3,2200,1,"Rp 1,593,200",20.34%
903,"Rp 1,750,000",Balikpapan Utara,84.0,144,SHM,Unfurnished,3,1,1300,1,"Rp 1,004,000",42.63%
234,"Rp 1,800,000",Balikpapan Utara,72.0,800,SHM,Unfurnished,3,1,1300,1,"Rp 1,811,700",-0.65%
1437,"Rp 2,750,000",Balikpapan Baru,298.0,200,SHM,Unfurnished,5,4,6600,2,"Rp 2,726,100",0.87%
97,"Rp 3,500,000",Balikpapan Selatan,260.0,230,SHM,Semi-furnished,5,3,3500,2,"Rp 3,081,200",11.97%
348,"Rp 680,000",Balikpapan Selatan,140.0,150,SHM,Unfurnished,2,2,1300,1,"Rp 888,400",-30.65%
267,"Rp 3,600,000",Damai,250.0,240,SHM,Unfurnished,4,3,3500,2,"Rp 3,347,500",7.01%
